응답ID,응답일시,연령대,성별,직업,지역,이용빈도,결제수단,평균_예약금액,서비스_만족도,가격_만족도,앱_사용성,검색_만족도,예약_편의성,고객센터_만족도,재이용_의향,추천_의향,주요_불만사항,개선_희망사항,선호_숙소유형
1,2024-11-01 14:23,20대,여성,대학생,서울,월 1-2회,카드,89000,4,3,4,3,4,5,4,4,가격이 비쌈,학생 할인 추가,호스텔
2,2024-11-01 15:47,30대,남성,IT 회사원,경기,월 3-4회,간편결제,156000,5,4,5,5,5,5,5,5,없음,지도 기능 강화,호텔
3,2024-11-02 09:15,20대,여성,프리랜서,부산,월 2-3회,카드,125000,3,3,3,2,3,4,3,3,검색 속도 느림,검색 성능 개선,게스트하우스
4,2024-11-02 11:30,40대,남성,자영업,대구,월 1회,카드,198000,4,4,4,4,4,4,4,4,없음,리뷰 시스템 개선,호텔
5,2024-11-03 08:45,30대,남성,금융 회사원,서울,월 4-5회,법인카드,245000,2,2,3,2,3,3,2,2,리뷰 신뢰도 낮음,실사용자 리뷰 확대,비즈니스 호텔
6,2024-11-03 16:20,20대,여성,대학생,대전,월 2회,간편결제,75000,4,3,4,4,4,3,4,3,할인 부족,할인 쿠폰 확대,호스텔
7,2024-11-04 10:15,30대,여성,공무원,세종,월 1회,카드,132000,5,5,5,5,5,5,5,5,없음,현 상태 유지,펜션
8,2024-11-04 13:42,20대,남성,대학생,서울,월 1-2회,간편결제,68000,3,2,3,3,4,4,3,2,UI가 구식,앱 디자인 개선,게스트하우스
9,2024-11-05 09:30,40대,남성,제조업 회사원,인천,월 2회,카드,178000,4,4,4,4,4,4,4,4,없음,결제 수단 다양화,호텔
10,2024-11-05 14:55,30대,여성,UX 디자이너,서울,월 3회,간편결제,142000,3,3,4,2,3,3,3,3,필터 사용 불편,필터 UI 개선,부티크 호텔
11,2024-11-06 11:20,20대,남성,스타트업 개발자,판교,월 4-5회,간편결제,198000,4,4,5,4,5,5,4,4,없음,API 성능 개선,호텔
12,2024-11-06 15:30,30대,여성,마케터,강남,월 2-3회,카드,165000,2,3,3,2,3,3,2,2,검색 속도 느림,검색 최적화,펜션
13,2024-11-07 10:05,40대,남성,임원,서울,월 1회,법인카드,387000,5,4,4,4,5,5,5,4,없음,VIP 프로그램 신설,럭셔리 호텔
14,2024-11-07 13:18,20대,여성,대학생,광주,월 1회,카드,56000,3,2,3,3,3,3,3,2,가격이 비쌈,학생 인증 할인,호스텔
